日期,类型,金额,供应商,发票号,类别,部门,地区,审批人
2025-04-01,支出,5200,华信办公用品,INV-2025-1001,办公用品,行政部,上海,张明
2025-04-02,支出,4800,华信办公用品,INV-2025-1002,办公用品,行政部,上海,张明
2025-04-03,支出,5100,华信办公用品,INV-2025-1003,办公用品,市场部,上海,李芳
2025-04-04,支出,4950,华信办公用品,INV-2025-1004,办公用品,市场部,北京,李芳
2025-04-05,支出,5300,华信办公用品,INV-2025-1005,差旅,销售部,广州,王强
2025-04-06,支出,3200,迅捷物流,INV-2025-1101,物流,供应链,上海,赵敏
2025-04-07,支出,2800,迅捷物流,INV-2025-1102,物流,供应链,上海,赵敏
2025-04-08,支出,3500,云端科技,INV-2025-1201,软件订阅,IT部,上海,陈磊
2025-04-09,支出,3600,云端科技,INV-2025-1202,软件订阅,IT部,北京,陈磊
2025-04-10,支出,5050,华信办公用品,INV-2025-1006,办公用品,财务部,上海,刘洋
2025-04-11,支出,5150,华信办公用品,INV-2025-1007,办公用品,财务部,上海,刘洋
2025-04-12,支出,4900,华信办公用品,INV-2025-1008,办公用品,人事部,上海,周婷
2025-04-13,支出,6000,华信办公用品,INV-2025-0088,办公用品,销售部,深圳,王强
2025-04-14,支出,6200,华信办公用品,INV-2025-0088,办公用品,销售部,深圳,王强
2025-04-15,支出,5800,华信办公用品,INV-2025-0303,市场活动,市场部,杭州,李芳
2025-04-16,支出,5900,华信办公用品,INV-2025-0303,市场活动,市场部,杭州,李芳
2025-04-17,支出,6100,华信办公用品,INV-2025-0303,市场活动,市场部,杭州,李芳
2025-04-18,支出,4200,京东企业购,INV-2025-0404,IT耗材,IT部,上海,陈磊
2025-04-19,支出,4300,京东企业购,INV-2025-0404,IT耗材,IT部,上海,陈磊
2025-04-20,支出,4500,迅捷物流,INV-2025-0505,物流,供应链,成都,赵敏
2025-04-21,支出,4600,迅捷物流,INV-2025-0505,物流,供应链,成都,赵敏
2025-04-22,支出,5400,华信办公用品,INV-2025-1009,差旅,销售部,成都,
2025-04-23,支出,4700,华信办公用品,INV-2025-1010,差旅,销售部,成都,
2025-04-24,支出,5000,华信办公用品,INV-2025-1011,市场活动,市场部,杭州,
2025-04-25,支出,4800,华信办公用品,INV-2025-1012,市场活动,市场部,南京,
2025-04-26,支出,5100,云端科技,INV-2025-1203,软件订阅,IT部,上海,
2025-04-27,支出,285000,华信办公用品,INV-2025-1099,设备采购,IT部,上海,陈磊
2025-04-28,支出,92000,华信办公用品,INV-2025-1088,咨询服务,管理层,上海,陈磊
2025-04-29,支出,5100,华信办公用品,INV-2025-1013,办公用品,行政部,上海,张明
2025-04-30,支出,5250,华信办公用品,INV-2025-1014,办公用品,行政部,上海,张明
2025-05-01,支出,3300,迅捷物流,INV-2025-1103,物流,供应链,武汉,赵敏
2025-05-02,支出,3400,云端科技,INV-2025-1204,软件订阅,IT部,上海,陈磊
2025-05-03,支出,3600,华信办公用品,INV-2025-1015,办公用品,行政部,上海,张明
2025-05-05,收入,25000,星辰客户A,INV-IN-6001,合同回款,销售部,全国,财务总监
2025-05-08,收入,18000,远航客户B,INV-IN-6002,合同回款,销售部,华东,财务总监
