日期,类型,金额,供应商,发票号,类别,部门,地区,审批人
2025-03-01,支出,5200,华信办公用品,INV-2025-0001,办公用品,行政部,上海,张明
2025-03-02,支出,4800,华信办公用品,INV-2025-0002,办公用品,行政部,上海,张明
2025-03-03,支出,5100,华信办公用品,INV-2025-0003,办公用品,市场部,上海,李芳
2025-03-04,支出,4950,华信办公用品,INV-2025-0004,办公用品,市场部,北京,李芳
2025-03-05,支出,5300,华信办公用品,INV-2025-0005,差旅,销售部,广州,王强
2025-03-06,支出,3200,迅捷物流,INV-2025-0101,物流,供应链,上海,赵敏
2025-03-07,支出,2800,迅捷物流,INV-2025-0102,物流,供应链,上海,赵敏
2025-03-08,支出,3500,云端科技,INV-2025-0201,软件订阅,IT部,上海,陈磊
2025-03-09,支出,3600,云端科技,INV-2025-0202,软件订阅,IT部,北京,陈磊
2025-03-10,支出,5050,华信办公用品,INV-2025-0006,办公用品,财务部,上海,刘洋
2025-03-11,支出,5150,华信办公用品,INV-2025-0007,办公用品,财务部,上海,刘洋
2025-03-12,支出,4900,华信办公用品,INV-2025-0008,办公用品,人事部,上海,周婷
2025-03-13,支出,6000,华信办公用品,INV-2025-0088,办公用品,销售部,深圳,王强
2025-03-14,支出,6200,华信办公用品,INV-2025-0088,办公用品,销售部,深圳,王强
2025-03-15,支出,5400,华信办公用品,INV-2025-0009,差旅,销售部,成都,
2025-03-16,支出,4700,华信办公用品,INV-2025-0010,差旅,销售部,成都,
2025-03-17,支出,5000,华信办公用品,INV-2025-0011,市场活动,市场部,杭州,
2025-03-18,支出,285000,华信办公用品,INV-2025-0099,设备采购,IT部,上海,陈磊
2025-03-19,支出,5100,华信办公用品,INV-2025-0012,办公用品,行政部,上海,张明
2025-03-20,支出,5250,华信办公用品,INV-2025-0013,办公用品,行政部,上海,张明
2025-03-21,支出,3300,迅捷物流,INV-2025-0103,物流,供应链,武汉,赵敏
2025-03-22,支出,3400,云端科技,INV-2025-0203,软件订阅,IT部,上海,陈磊
2025-03-25,收入,25000,星辰客户A,INV-IN-5001,合同回款,销售部,全国,财务总监
2025-03-28,收入,18000,远航客户B,INV-IN-5002,合同回款,销售部,华东,财务总监
